Name,ID,HomePlanet,BloodSample
 Bekele Prakash, 8385864, Censa III,  +--------+  |oopc ooc|  |oc i ici|  |p c   ic|  |p p co p|  |coc  i o|  |o cp pp |  +--------+
 Jinhua Shimizu, 2183045, Beta Seres,  +--------+  |oioo iii|  |o ici  o|  |   oco o|  | icc  io|  | ioopi p|  |io iipii|  +--------+
 Ping Balde, 5898976, Vule,  +--------+  | oopc c |  |i   iip |  |oii i o |  | p p i  |  |cpic  c |  |i p o  o|  +--------+
 Chen Ilunga, 9137364, Gamma Charida,  +--------+  |ppo i   |  |   ccio |  |c iippc |  |o p io  |  |occpp c |  |ooc ccco|  +--------+
 Ernesto Moreira, 6571614, Drane,  +--------+  |i opi co|  |iioo pc |  |icp op  |  | opcpo c|  |io pioic|  |  o    c|  +--------+
 Yun Shu, 6233161, Laco II,  +--------+  |pp iiio |  |p ocp  c|  |iocc   c|  |pipopoc |  | o  ppip|  |p  icppc|  +--------+
 Xiaohua Turner, 6453205, Carsa,  +--------+  |ioiiic c|  |cip    o|  | op i ip|  |o cooioc|  |iip ici |  |c cic cc|  +--------+
 Sergey Kuang, 7365551, Reticis V,  +--------+  |oi pp p |  |iio pi o|  | p pp oo|  |pp cc ip|  |ic ip  c|  |  ii  ci|  +--------+
 Lisa Baba, 4099489, Saticer Minor,  +--------+  |pp cco i|  |ccpo   i|  |op pcopo|  | i pip c|  |p o iiip|  |ioio  o |  +--------+
 Alma Chen, 5282477, Alpha Cetung Major,  +--------+  | i ci  i|  |oocooo  |  |po iip p|  |i   pipo|  |o  pccpc|  |   ccp i|  +--------+
 Ma Gou, 7472930, Lephini V,  +--------+  |c ic   p|  |poi ococ|  |oiio p  |  |ooicicp |  |o   ci  |  |poiicii |  +--------+
 Samira Richard, 1520093, Urale,  +--------+  | iioiicc|  |  c o ic|  |iciipooi|  | oc  iip|  |ccc o o |  |o  cocoo|  +--------+
 Joel Sasaki, 8391499, Gamma Lacer,  +--------+  |p ccpcpc|  |    cic |  |i ooppo |  |pooco   |  |pi occo |  | i ic  p|  +--------+
 Shan Song, 2041698, Saturus,  +--------+  |icppiop |  |ii    po|  |pppopop |  | oopc   |  |o   iiii|  |ooc c ip|  +--------+
 Mariam Inoue, 3912115, Nepheus,  +--------+  |  ipipop|  |o o i o |  |i  o   p|  |  popcpi|  |o i   ci|  |  oop ci|  +--------+
 Haitao Sato, 7539442, Caprius VI,  +--------+  |oicoii o|  |ip i    |  |  p p  p|  | ii iio |  |oo ooi  |  |pc  op  |  +--------+
 Wenjun Ramirez, 1179037, Alpha Vele,  +--------+  |poo  c c|  |cppipcp |  |io  cppc|  |pi  pp  |  |c   o pc|  |cc cp ci|  +--------+
 Cong Dang, 8138140, Luppis,  +--------+  |  c occ |  | p   p  |  |o  io   |  | p oipi |  |p  ocp  |  |  coo p |  +--------+
 Ravindra Varma, 6784406, Beta Comaela Minor,  +--------+  |pc   o o|  |   i   o|  |c c   i |  | coo o  |  |p ci oc |  |co ioi  |  +--------+
 Betty Hosen, 3555560, Alpha Vele,  +--------+  |co cpo c|  | c  io  |  | oc opi |  |i picipp|  |ip  i   |  |poc  ipp|  +--------+
 Ester Saeed, 6488465, Beta Cenus,  +--------+  | pip  p |  |coo o  c|  | cico op|  |p ii   p|  | pp pppp|  |ipcppo o|  +--------+
 Nurul Salas, 7863034, Minoces VI,  +--------+  |p p p oc|  |pp pcppi|  |p cipc  |  |i  iipc |  |icc  cpp|  |pp  p oi|  +--------+
 Silvia Miranda, 3196577, Pega III,  +--------+  |cppo oop|  |cp ci o |  | co iioc|  |ppcpo ic|  |pcipopii|  | ci   ii|  +--------+
 Rita Barry, 2008990, Tucanix,  +--------+  | p    o |  |ioo ciic|  |oo  iooi|  |o pccc o|  |i iii p |  |pcc cpp |  +--------+
 Fatemeh Ward, 1792646, Minocer,  +--------+  |piicpoo |  |  o   o |  |  oopppc|  | po  o c|  |i p c oi|  |iiopoi c|  +--------+
 Hossein Ho, 3473927, Erius Minor,  +--------+  |iio opc |  |i po oop|  | op iioi|  |oo cc o |  |  pcpo i|  | picpo  |  +--------+
 Nikita Sheik, 3884112, Alpha Cane,  +--------+  |ipc pi i|  |   c  pp|  |op     o|  | ooco cp|  |  c opio|  | ppp ci |  +--------+
 Lan Saha, 5730756, Cana,  +--------+  |cpp   oc|  |  i pcp |  | c o  p |  |ci  p o |  |i oi pc |  |op  pco |  +--------+
 Josef Morales, 9808534, Serens,  +--------+  | poc pip|  | p  co  |  |  c o o |  |o cp oi |  |ci   opp|  |ocpio oi|  +--------+
 Edgar Costa, 1790029, Drane,  +--------+  |ci  cp p|  |   i    |  | ccii   |  |i ooppi |  |  p   o |  |ipipco  |  +--------+
 Herbert Muhammed, 8985571, Casus Minor,  +--------+  |poc oooc|  |i io coo|  |ppoo o i|  |ippppo o|  |oopcco o|  |pcciic i|  +--------+
 Ta Oliveira, 8863662, Equulum Minor,  +--------+  |i  ii  o|  |c  ipp i|  |pppo o  |  |pp  p  o|  |ppoo io |  |o  o pc |  +--------+
 Edgar Dias, 1133190, Antlis VI,  +--------+  |iipooo  |  | p o pc |  |i o op p|  |oo   c o|  |p ii i  |  | oop cpc|  +--------+
 Lingling Aslam, 4477842, Oricer,  +--------+  |pi pc cc|  |pi cci  |  |i po coc|  |  c   o |  |cc ioo  |  |c occ io|  +--------+
 Diane Ismail, 3375567, Beta Erinix,  +--------+  |ppc ppc |  |po opooc|  | poo opo|  |ici  ppi|  | ipipcoi|  |poicpcoo|  +--------+
 Javier Luo, 8661501, Beta Aquule,  +--------+  | i  c oc|  |p   oicc|  | cc cp p|  | coocii |  |cp  piio|  |p p ppoc|  +--------+
 Viktor Xing, 8613535, Beta Tucansa,  +--------+  | oioi ip|  |icpi    |  |  o oi o|  | ipopccc|  |  pi c  |  |opc iicc|  +--------+
 Shan Abbas, 7762154, Lacorna,  +--------+  |icoio p |  | iopocpo|  |c ccpp  |  |ccc i oo|  |   ic  p|  | coii   |  +--------+
 Zin Banerjee, 4965866, Beta Corenus Major,  +--------+  | i   o  |  |p i  cco|  |  i   c |  |pooip oo|  |   ic   |  |   cc cc|  +--------+
 Weiping Musa, 2299264, Heros V,  +--------+  | pippcoi|  |o  cp cp|  | ic oo c|  |ciip pci|  |i pp p i|  | o cop c|  +--------+
 Anil Li, 8165266, Alpha Canus III,  +--------+  |ccp  oci|  | io ppo |  |co ocpp |  |   cc io|  | ii  cp |  |ipocc  i|  +--------+
 Francis Mao, 1365172, Dracer,  +--------+  | co ip o|  |po o ocp|  |ocpip i |  |ppp oipo|  |  ioc ip|  |opp o oi|  +--------+
 Manju Bakhash, 7364234, Ceros,  +--------+  | c o  pc|  |i oc c  |  | cio    |  |   cc p |  |piio i  |  |i   oppi|  +--------+
 Jianming Ko, 8846000, Charina,  +--------+  |pco oi  |  |p opoi  |  | oc o  p|  |c   o  i|  |o o p  p|  |i oi c c|  +--------+
 Naseem Blanco, 4696871, Cetury,  +--------+  | c  pooc|  | ppi o o|  |o p pppp|  |p o cicp|  |cc oo  o|  |  cp   o|  +--------+
 Aleksandr Aziz, 3857852, Virgol,  +--------+  |i icoopc|  | i    po|  | c i   p|  |o io poc|  |poici   |  | i ccp  |  +--------+
 Anwar Sosa, 5375172, Arisci,  +--------+  |popo   p|  | oc c ip|  |pc  oooc|  |oioc  cp|  | p pcpi |  |iicioo p|  +--------+
 Bharat Mohamed, 2612149, Venta IV,  +--------+  |pooppiic|  |piicp ci|  |pp o  cc|  |  cpo   |  |o p pcio|  |iip c i |  +--------+
 Ruth Kouassi, 7929202, Caries,  +--------+  |pi ii oo|  |  pi i o|  |oo iccoc|  |cc c    |  |p  opcco|  | ic  c i|  +--------+
 Gerald Santos, 8439488, Alpha Taurux,  +--------+  |i ooc   |  | o    p |  |iicpo   |  | cciopp |  | popopp |  |  icpcoi|  +--------+
 Iman Duong, 8786119, Jupius,  +--------+  |cipi  c |  |coco ici|  |iciipcci|  |ioi ciic|  | ip   pp|  |  c oo  |  +--------+
 Ahmet Babu, 8495808, Beta Piscer,  +--------+  |c ipocp |  | p   pp |  | p i poo|  | opcppco|  |  c    p|  |ccppoc  |  +--------+
 Ahmed Tran, 4540674, Beta Vuleon,  +--------+  | p ioioc|  |o  oi i |  |pipp c  |  |i    p  |  |ccci oi |  | ppppp  |  +--------+
 Leila Ho, 6525070, Seres,  +--------+  |  coc po|  |c i  p o|  |p copcp |  | oipi oo|  | oi  c o|  |i  ci p |  +--------+
 Orlando Shehu, 8344610, Venici III,  +--------+  |ppoi    |  |   ic io|  | iooo pi|  |p ccip o|  |  i oc  |  |  occccp|  +--------+
 Muhammed Gao, 4713529, Berth VI,  +--------+  |i  i c c|  |  p cici|  |oic cio |  |ccccopop|  | c opiop|  |ipc i pc|  +--------+
 Lyudmyla Silva, 3896141, Leon Major,  +--------+  |ccicpio |  |i oc pop|  | oi o op|  |i ip io |  |  piioc |  | c pc  o|  +--------+
 Erika Martin, 8170102, Geminus III,  +--------+  |oii c o |  | ic p ic|  |ccco c o|  | pocp  p|  |p  i ii |  |pc cp   |  +--------+
 Son Umaru, 4470500, Aquarth,  +--------+  |cioii   |  |o iccooo|  |o  opoop|  |oi p c c|  |cp o cp |  |i p ipi |  +--------+
 Dmitriy Rao, 5597396, Gamma Earis,  +--------+  | c  pppi|  |pi    i |  |pciopi c|  | ic o  i|  | pccp pc|  |p po   c|  +--------+
 Michael Nasser, 8527566, Jisunes,  +--------+  |ppipcopi|  |oicii   |  |o p icoi|  |op  icic|  |o piop p|  |   pp  p|  +--------+
 Igor Pedro, 9692547, Sednax,  +--------+  | iioc ic|  |pcpp   p|  |op pippp|  |ii  p co|  |  cpp o |  |iocpcp i|  +--------+
 Agus Mou, 8458716, Alpha Hereni IV,  +--------+  |   pcpop|  |   cccio|  | c o i  |  |cocpi  o|  |pp c ic |  |pcio   i|  +--------+
 Gang Machado, 4787189, Algo,  +--------+  | o   o  |  |c poopic|  | pcc   c|  |iopioiop|  |o opoo  |  |pcpopoo |  +--------+
 Issa Barman, 3583631, Vula III,  +--------+  |pi  i o |  |o po  i |  |  picp  |  |cpoi  op|  |o  ciioi|  | ciiiio |  +--------+
 Solomon Ibarra, 7462077, Gamma Cetune VI,  +--------+  |ppp ocpc|  | i i    |  |iccocpp |  | c pippc|  | co pccp|  |o  i oc |  +--------+
 Eunice Ei, 4474601, Beta Satus Minor,  +--------+  | iii i  |  |oiipoo  |  |ipcipco |  |  io ccc|  |ciooi ci|  |ic     p|  +--------+
 Michelle Moyo, 3614209, Forado,  +--------+  | ccppi c|  |pcc     |  |p  c coi|  | ii pcoc|  |iii   c |  |c iooo i|  +--------+
 Saeed Kumari, 1201808, Beta Neptor,  +--------+  |    ipcc|  | p op c |  |iiopip p|  | o ocip |  | coioooi|  | oc o o |  +--------+
 Anton Thin, 5818524, Beta Lacorna Major,  +--------+  |  cpcioi|  | cooi pp|  |pi i pi |  |  ip p o|  |i pp oio|  | cip io |  +--------+
 Emma Franco, 8102198, Beta Venax VII,  +--------+  |  cpoooo|  |ppioc  p|  |   cooop|  |p piccp |  |o   o cp|  | o ioc i|  +--------+
 Sofia Avila, 9122304, Cars VI,  +--------+  |icocoo o|  | iic op |  |o coioc |  |i  p cic|  | c o    |  | o    cc|  +--------+
 Raimundo Hwang, 2106508, Meres Major,  +--------+  | o  o p |  |poccp o |  | o  ioi |  |p oio pc|  |o oi o  |  |  pi oi |  +--------+
 Jianhua Dube, 6181261, Erico,  +--------+  |io poopo|  |popioipc|  |ppoi i  |  |cpioio o|  |ppiipoi |  |c cocp o|  +--------+
 Alicia Rasool, 9866251, Beta Cetices,  +--------+  |o  c  p |  | ioiocpp|  | o  i i |  |i ip  cc|  |c ocoppp|  |  p pip |  +--------+
 Mi Aden, 3001902, Nephius III,  +--------+  |pip ioci|  |cpc  cpc|  |oiiipooi|  |opc   p |  |iii iio |  |   oiccc|  +--------+
 Nadezhda Yamada, 1108712, Gamma Cetune,  +--------+  | o  copo|  |pi ocppi|  | c ocpcc|  |   pcioc|  |iccpiooi|  |ioii    |  +--------+
 Ryan Diop, 8074581, Gamma Satung VII,  +--------+  |o oo po |  |ccpoococ|  |oi    oc|  | c c   p|  | i  cci |  | ciic o |  +--------+
 Joseph Araujo, 8703749, Carda III,  +--------+  |o pppccp|  | iicc  i|  |ioco   i|  |pcio  pc|  | i  co o|  | cpccioc|  +--------+
 Ta Ramos, 1334972, Cenices,  +--------+  | o c ppp|  |ioi i  i|  | ociccii|  |ic i cci|  |c   ocp |  |opo i  o|  +--------+
 Mo Thakor, 5343203, Gamma Algolum,  +--------+  | p iooio|  |copcpcco|  |c  io  p|  |c iiccp |  |p c  ic |  |i  oip  |  +--------+
 Victor Rivas, 8493624, Cratung,  +--------+  |io  oip |  | i     i|  |iiii   p|  | c  pooo|  |  c i co|  |i ooci  |  +--------+
 Larry Aden, 9306399, Gamma Cetune VI,  +--------+  |opo pp  |  |o cpoccc|  |coicppio|  |oi pc oo|  |pp    o |  |c  i o o|  +--------+
 Jay Jean, 8805603, Arius IV,  +--------+  |i i i cp|  |  o pp i|  | o  c i |  |ip p cco|  |oc p oc |  |co poo  |  +--------+
 Henry Lucas, 9631723, Ceros,  +--------+  |o io   c|  |cipipcoo|  |p ipoioi|  |ciio  oc|  |cp ippc |  |pc o oic|  +--------+
 Dieter Hossen, 9712305, Alpha Sateron,  +--------+  |p coc pc|  |o pipccp|  |ioco icp|  |i  cioco|  |iopiocii|  |o  oooi |  +--------+
 Pavel Sayed, 5374497, Hydron VII,  +--------+  |cpppi  i|  | i ipico|  |cciip   |  |pci  c i|  |p p  pc |  |cipp cip|  +--------+
 Christopher Orozco, 4271647, Lacora VI,  +--------+  | cpop  i|  |ccc piio|  | coc  o |  |oiiio  p|  |po po i |  | o  pccc|  +--------+
 Cesar Zhang, 1243573, Tauries VII,  +--------+  |opp p i |  |ciocppi |  | ci    p|  |cc cicop|  |pi oiio |  | iipc co|  +--------+
 Werner Abdel, 1856145, Coroma,  +--------+  |p p o   |  |    iccc|  | op cp o|  |oo ccioo|  |p i copc|  |ii  op p|  +--------+
 Stefan Abu, 4874729, Corn Minor,  +--------+  | ioicii |  |po ppcii|  |pici i  |  |c p i i |  |coo  pio|  | poicocc|  +--------+
 Julius Pei, 4690585, Beta Jisces,  +--------+  |oci pcii|  |piicoi i|  | piop  c|  |iipo c  |  |  c  p p|  |i   oii |  +--------+
 Mahdi Vazquez, 7101719, Hydros,  +--------+  |i  p pco|  |oiic cop|  |icopo pp|  | pi  c  |  |oio  ic |  |c ci p i|  +--------+
 Jim Hao, 9942530, Phoeni V,  +--------+  |ci   pio|  | pp  po |  | oipc  c|  |c p  cc |  |o ipp cp|  | pc  c o|  +--------+
 Faith Campbell, 5741153, Crado,  +--------+  |  pooi i|  |  coi p |  |   pccci|  |ii  pop |  |oci ii c|  |iooc   p|  +--------+
 Julia Karmakar, 1883260, Sedalis,  +--------+  |ociioioo|  |o   c i |  | p opo i|  |ci  popi|  |p o ooip|  |ii c oic|  +--------+
 Saraswati Orozco, 7783957, Gamma Earis,  +--------+  |ppc i op|  |p o   pi|  |oi oooo |  |op pipop|  |i o   oo|  |op c i  |  +--------+
 Sandeep Hwang, 6604209, Forado,  +--------+  |oipoii p|  |ccp    c|  |cp  ci o|  |i   o pi|  | cip  op|  |i  i opp|  +--------+
 Pushpa Khaled, 9436485, Gamma Geminor V,  +--------+  |   iccio|  |ccic ppo|  |i o iii |  |c  i p p|  |p  po  o|  | c ccico|  +--------+
 Ryan Che, 5214842, Eria,  +--------+  | i iop p|  | io  oi |  | cp ccp |  |p  co cp|  |c o coii|  |   popc |  +--------+
 Ellen Gong, 6255554, Perpis,  +--------+  | cp c  p|  |pcop o  |  | pici pc|  |ip ci ii|  | pip pcc|  |i co c i|  +--------+
 Priyanka Kang, 1215648, Opheus,  +--------+  |cpiicp i|  | poo oc |  | io pii |  |    cc  |  |     pip|  |p   opii|  +--------+
 Lyudmyla Paul, 6330933, Ears,  +--------+  |c   p cc|  |i  ci pp|  |o ii o  |  | i pciii|  |copi ppc|  |  pp occ|  +--------+
 Haibo Feng, 6579630, Ariang V,  +--------+  |  ccci p|  |ocoop oc|  | pppcpo |  |po i  p |  |oipoc i |  |i c occp|  +--------+
 Huimin Salazar, 8548285, Uralia,  +--------+  |o oopp  |  |p opc  i|  | ccicooc|  |o o pp o|  |pciipp p|  |o   pic |  +--------+
 Margaret Huang, 6291368, Alpha Dela,  +--------+  |cpiipoo |  |p oico  |  |   cppcc|  | c  ppp |  |p  i  po|  |o ccp  c|  +--------+
 Lee Raj, 3225644, Alpha Aralia,  +--------+  |p iccpco|  |p  ci o |  |ipocp  i|  |i c  icp|  |   o  ii|  | oi   ci|  +--------+
 Sunil Coulibaly, 7322350, Algo VII,  +--------+  |oi p ioc|  | c pci p|  |c p p o |  | p c c i|  |icocii i|  |  cpic i|  +--------+
 Rajendra Xing, 4665811, Alpha Lacor,  +--------+  |poc iio |  |icpii  p|  |c  ii ic|  |p opp p |  |cooi p  |  |   o  ii|  +--------+
 Anthony Khalaf, 1162145, Sexta VI,  +--------+  |p ocoo o|  | ccciic |  |  i opo |  |p   oppp|  |c p i c |  |pp i  cc|  +--------+
 Abubakar Francis, 1898569, Majorn Major,  +--------+  |ip p  c |  |co   i c|  |o  c ioo|  |  cpo oo|  |o oppo c|  |ippoo po|  +--------+
 Marianne Mohamed, 2656806, Alpha Corn,  +--------+  |ioc  c  |  |ooi  poc|  |ci ipiip|  | ic icii|  |  c ic p|  | ioo pop|  +--------+
 Faith Mohammad, 7217471, Saticor,  +--------+  | i p ppi|  | oip  co|  |ipo oc  |  |pp   p i|  | p  c co|  |i ippc c|  +--------+
 Savitri Zhuang, 8088716, Lacoros,  +--------+  | ico p  |  |ip pc  c|  | o o pp |  | oooiipc|  |  po i c|  | o  ccp |  +--------+
 Babu Hernandez, 5973129, Beta Cens,  +--------+  |io  ooio|  |ipppci  |  |p pppci |  | c  po o|  |oo ccic |  | c  ci o|  +--------+
 Jingjing Omer, 5398899, Vule,  +--------+  |ipo oooi|  |p oc ic |  |cocc  i |  |  icccii|  |  ipci o|  |opopppp |  +--------+
 Viktor Takahashi, 1310735, Alpha Aurnus,  +--------+  |c ci  op|  |iio io  |  | cc oo o|  | i o oci|  |piopp oi|  | pcoii p|  +--------+
 Chen Pak, 3633585, Saticis II,  +--------+  |ccppo op|  |o p p   |  |pp icicc|  |coc pp i|  |pp  ii  |  |ppipcoo |  +--------+
 Mona Roberts, 2984016, Venta VII,  +--------+  |o ooc co|  |  oicopi|  |io  pccp|  |o ipooio|  |cc   p c|  |ppp   co|  +--------+
 Nicholas Mia, 9864927, Vens VII,  +--------+  | ccp oio|  |popi pcp|  |  oiic  |  |  pi  cc|  |i   i io|  |ip c  co|  +--------+
 Gabriel Shaik, 9514993, Beta Menico,  +--------+  |icci  pp|  | pcipi c|  | pp   o |  |op c oci|  |ipop  p |  |i  cc p |  +--------+
 Chandra Abdallah, 6193170, Cenis,  +--------+  |copioi c|  |ppi  cco|  | c  pooc|  | pc pioo|  | c oc   |  |iic oi c|  +--------+
 Kavita Kone, 9907592, Canix VI,  +--------+  |ipopci  |  |opop   o|  |c pc o  |  | pppoc o|  |p c i ip|  |oio ci o|  +--------+
 Kassa Wong, 2228867, Canus III,  +--------+  |c pc   p|  |pppopoi |  |ooii co |  |o i io p|  |ipic c o|  |p poi io|  +--------+
 Grace Parveen, 5667753, Gamma Vena,  +--------+  |i cci  i|  |ci cpccc|  | icoi   |  |i cpi cp|  | o ipp  |  |op cpcc |  +--------+
 Esther Santiago, 1449779, Cepus,  +--------+  | occ o c|  |opi  i i|  |o  poic |  |oop   ic|  |i iic  o|  |cpo i   |  +--------+
 Ramesh Phiri, 7843263, Sedanus Minor,  +--------+  |iiccp  p|  |pccp p i|  |o pocpii|  |o i ppp |  | p  ippc|  |c oc  op|  +--------+
 Karin Maung, 5142904, Tria,  +--------+  |i cppiop|  |oppppici|  |p pc  o |  |  oc cpc|  |o io op |  |c  copo |  +--------+
 Sam Sheng, 3356733, Bores,  +--------+  |p o o i |  |    popc|  | poo c  |  |ii ppoci|  |opio   c|  |ioooiop |  +--------+
 Na Niu, 9949317, Gamma Mens,  +--------+  |cccco  p|  |cp c oc |  |po  coi |  |piioc i |  |pi o c i|  |  ip   o|  +--------+
 Hans Hughes, 5318904, Gamma Orianus,  +--------+  |ii  i   |  |o  pppop|  |ipoccci |  |pp iippi|  | ooopc p|  |  ioo ic|  +--------+
 Faith Cao, 9722519, Gamma Monoces,  +--------+  | cp ip  |  | iip ipp|  |pcppc o |  | op p pp|  |o   cccc|  |i iocci |  +--------+
 Tatyana Petrova, 1735205, Beta Tries,  +--------+  |pc  cc  |  |   pi  i|  |c  opic |  |ii i o c|  | ooc pip|  |ioocp c |  +--------+
 Xiaolin Afzal, 9372226, Aurux Minor,  +--------+  |ccoi c  |  | cp   oo|  |ci  oipi|  | i ip ii|  |c c oioo|  |ioooccc |  +--------+
 Hussein Shao, 9724561, Equarth,  +--------+  |ciiico i|  | oo   c |  |cp  copo|  |    i  o|  |i  o  o |  |p  iop o|  +--------+
 Mei Tong, 8120878, Alpha Vena Major,  +--------+  |  pc   i|  |  c pc c|  | o p cpi|  |   cc po|  |pcp pccc|  |o i  cc |  +--------+
 Gerardo George, 7002222, Cralis III,  +--------+  | p pcoco|  |ccopcpc |  |ici c io|  |ci oip c|  |i ii   o|  |i    p  |  +--------+
 Philip Shahzad, 4307900, Eries VII,  +--------+  |p c  c  |  |c  ci io|  |io c ipc|  |c  p pi |  |cpcoppoo|  |cpc p c |  +--------+
 Naseem Song, 2747825, Alpha Meron VII,  +--------+  | c c  ip|  |co i cp |  |po p p i|  | iiopooi|  | pi piio|  | oiipp c|  +--------+
 Ying Demir, 9380470, Siriona,  +--------+  |i  o  po|  |ii oi  o|  |ccc pc o|  |cioicop |  |  picop |  |oi oic  |  +--------+
 Man Sahu, 1371459, Beta Vens IV,  +--------+  | o ppiii|  |co p coi|  |ocp  c  |  |  p  o c|  |  cc pp |  |   cicpp|  +--------+
 Xiaomei Xin, 5511130, Gamma Scurna,  +--------+  | o opc o|  |  i  cco|  |opp p oi|  |c i  p p|  |p i c c |  |i o c  i|  +--------+
 Yanyan Walker, 4940751, Alpha Vena Major,  +--------+  |   o cc |  | pi cooc|  |ci  i  p|  |oci pp p|  |pc oo c |  |i po pc |  +--------+
 Guillermo King, 1042292, Menicus,  +--------+  |oio ocoo|  |o   ciii|  |  ooi cp|  | icpc  i|  |ioo  iio|  |ip co c |  +--------+
 Cristian Ngo, 5003739, Gamma Lyracer,  +--------+  |i pci ci|  | c i  cp|  |i op ccp|  |  ppccc |  |oo  o  o|  | ci cipo|  +--------+
 Sylvia Anwar, 2716150, Cerpeia,  +--------+  |p  io o |  |oo  io p|  |ppi piop|  |i  o c p|  |o   coc |  | pc    o|  +--------+
 Deborah Shankar, 1597203, Beta Menix III,  +--------+  |p ii icp|  | poi pp |  |c io oip|  |ii ici o|  |ipi poip|  |o  ppocc|  +--------+
 Cong Sharif, 6790192, Gamma Cetune III,  +--------+  |cic    o|  |c  cco  |  | ppci io|  |oo      |  |opcpiii |  |  ciocpi|  +--------+
 Salah Schneider, 3619262, Serth V,  +--------+  |ip po p |  |ioi opoc|  | ii  opi|  |o o cip |  |i pio p |  |ip  iocp|  +--------+
 Jack Mallik, 1449897, Beta Cenix VI,  +--------+  |p ccoico|  | oi    p|  | ppc oii|  |oiii  ic|  |   p ppp|  | oo c  c|  +--------+
 Cristina Rios, 9695578, Gamma Dracor,  +--------+  | ccpccpc|  |p opoopo|  |  o  i c|  |iop ci o|  |ipo i i |  |i   c oc|  +--------+
 Qing Ha, 5795238, Perpens,  +--------+  |io ipcio|  |  ooocci|  |p  iip i|  |icoc   c|  | op   p |  |i  ci oi|  +--------+
 Brian Ochoa, 9580143, Aralia,  +--------+  |i ii p i|  |i ic  op|  | cco cp |  |c pcpci |  | oiiopic|  | oc occc|  +--------+
 Cheng Sinha, 2967572, Herseus,  +--------+  |i  pi i |  | ccpooc |  | i o cc |  |icppic  |  | ii cipp|  |p  i pp |  +--------+
 Marwa Tanaka, 6312766, Andra III,  +--------+  |o oicpi |  |ipi  oic|  |cpiic  o|  |pooicio |  |  pcooo |  |p io  o |  +--------+
 Samira Ouedraogo, 1472016, Taurn VII,  +--------+  |p   oo i|  | pic p c|  |o c ic  |  |coi  o i|  | c oico |  |opo cpc |  +--------+
 Joshua Thakur, 7472298, Plum VII,  +--------+  |i  p   o|  | ipccp  |  |oc  opi |  |oo pip  |  |op p p c|  |i coiiic|  +--------+
 Stephen Ullah, 6172394, Octang,  +--------+  |opicicco|  |ci cp p |  |  ocp pi|  |    i  i|  | oco    |  | p    co|  +--------+
 Stefan Idris, 9768211, Carda III,  +--------+  | pp opp |  |ip ip pp|  |p   ipco|  |pii   op|  |oc i  i |  |o p ccpp|  +--------+
 Sabine Traore, 8262459, Gamma Phoens,  +--------+  |c pi oi |  |  ioco p|  |oppo oii|  |i p cici|  | pc   cp|  |cp cooo |  +--------+
 Rebecca Gan, 3512449, Luppis,  +--------+  |coipiioi|  |poiiiiip|  |c  i i p|  |ocopoo  |  |cio ipp |  |  cpo io|  +--------+
 Christina Mustafa, 6878741, Jisunes,  +--------+  | cic ipo|  |c  p ppp|  |cc  opp |  | co i i |  |   coi  |  | p  c c |  +--------+
 Stella Juarez, 3035484, Mina VII,  +--------+  | iicoo o|  |  iii i |  |ioip  i |  |ioc   pp|  |co op cc|  |i i c pc|  +--------+
 Xiaojun Shaik, 8129074, Beta Taurn VII,  +--------+  | i   po |  |oc  pi c|  |p   i p |  |o c   pp|  | cciicp |  |cpoic   |  +--------+
 Weiwei Wilson, 2000098, Alpha Censa,  +--------+  |po  o i |  |p pii io|  |c iooci |  |cp ci oc|  |copppocp|  |   p o  |  +--------+
 Mahendra Konate, 5690768, Hydros VI,  +--------+  |iioc p  |  | ioio o |  |oociooii|  | opici i|  |o iio oo|  |pp    o |  +--------+
 Philip Evans, 6239139, Gamma Minoces,  +--------+  |pc  c i |  |cp icpic|  |coo   i |  | oo o i |  |poiooopo|  |oc oppc |  +--------+
 Caroline Yoshida, 8004020, Sculum,  +--------+  | ip  pi |  | ip  co |  |cc pocpo|  | ciio   |  |oc iopi |  | cccpiop|  +--------+
 Sarah Naik, 9434845, Urans,  +--------+  |iic po  |  |p i  coi|  |pciiocpp|  |ipppco  |  |cp pc cp|  |oo  ioci|  +--------+
 Guillermo Manna, 4834855, Luppius,  +--------+  |oioiic p|  |o piccop|  |oi c    |  | c oc  o|  |cpopo ii|  |i p   pc|  +--------+
 Marlene Pandit, 5771786, Hydron Minor,  +--------+  |i pciipc|  |p cic p |  |c o copp|  |   pippc|  |   o   i|  |cp ipocc|  +--------+
 Virginia Banerjee, 6624519, Retico,  +--------+  |  ci cii|  |poi  i o|  |cpc popo|  |ipi   ic|  | o co  p|  |cp  oco |  +--------+
 Heather Gonzales, 1259355, Dela Minor,  +--------+  |cpc ooc |  | iopc   |  |p ipppip|  |cip occi|  |opc ii o|  |ipoc  o |  +--------+
 Prem Omer, 6184758, Corna VI,  +--------+  |o cppi p|  |o ci poi|  |ii   o o|  |oiipooi |  |  cio  p|  | cpooopp|  +--------+
 Susana Mir, 9449483, Equila III,  +--------+  |pc  i  p|  |o  co ii|  |ic   i c|  |i o   cp|  |o  ipopp|  |c ipoi c|  +--------+
 Therese Ndlovu, 2404482, Equila III,  +--------+  | ccpi ic|  | oc cipo|  |  oicpi |  |p iii po|  |i o  oio|  |pi i o  |  +--------+
